Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Bénie Adama Traore,ci CIV,"FW,MF",20.0,14,504.0,36.0,16.5,5.6,4,67.0,0,10,24.0,1,0.79,5.0,12.0,-7.0,-1.25,-0.62,6.5,9.4,-2.9,-0.51,-0.07,Matches
Adson,br BRA,"MF,FW",22.0,8,238.0,30.0,7.8,2.6,2,61.0,0,6,20.0,0,1.0,2.0,6.0,-4.0,-1.51,-0.84,3.3,5.4,-2.1,-0.79,-0.37,Matches
Ignatius Ganago,cm CMR,"FW,MF",24.0,6,184.0,31.0,6.0,2.0,2,47.0,0,4,23.0,1,1.0,0.0,2.0,-2.0,-0.98,-0.26,3.3,3.0,0.3,0.17,0.66,Matches
Abdoul Kader Bamba,fr FRA,"FW,MF",29.0,23,611.0,27.0,20.0,6.8,1,59.0,0,22,25.0,9,0.7,8.0,17.0,-9.0,-1.33,-0.74,10.0,16.0,-6.1,-0.89,-0.54,Matches
Marquinhos,br BRA,"FW,MF",20.0,7,154.0,22.0,5.0,1.7,1,57.0,0,6,16.0,4,1.0,3.0,4.0,-1.0,-0.58,0.16,3.8,4.3,-0.6,-0.33,0.13,Matches
Fabien Centonze,fr FRA,DF,27.0,3,94.0,31.0,3.1,1.0,1,45.0,0,2,25.0,0,0.0,0.0,1.0,-1.0,-0.96,-0.23,0.9,1.7,-0.8,-0.73,-0.28,Matches
Bastien Meupiyou,fr FRA,DF,17.0,1,8.0,8.0,0.3,0.1,1,8.0,0,0,0.0,3,1.0,0.0,1.0,-1.0,-11.25,-10.54,0.1,0.8,-0.7,-7.85,-7.41,Matches
Jaouen Hadjam,dz ALG,DF,20.0,8,112.0,14.0,3.7,1.2,0,0.0,0,8,14.0,5,0.63,0.0,5.0,-5.0,-4.02,-3.41,2.5,2.9,-0.3,-0.26,0.2,Matches
Stredair Appuah,fr FRA,"FW,MF",19.0,4,84.0,21.0,2.7,0.9,0,0.0,0,4,21.0,8,0.75,0.0,5.0,-5.0,-5.36,-4.75,1.1,3.5,-2.4,-2.52,-2.12,Matches
Denis Petrić,rs SRB,GK,35.0,1,24.0,24.0,0.8,0.3,0,0.0,0,1,24.0,15,0.0,0.0,1.0,-1.0,-3.75,-3.04,0.2,0.1,0.0,0.16,0.62,Matches
Hugo Boutsingkham,fr FRA,"MF,FW",20.0,2,11.0,6.0,0.4,0.1,0,0.0,0,2,6.0,5,2.0,0.0,1.0,-1.0,-8.18,-7.47,0.0,0.3,-0.3,-2.65,-2.2,Matches
Adel Mahamoud,km COM,FW,20.0,1,10.0,10.0,0.3,0.1,0,0.0,0,1,10.0,5,1.0,0.0,0.0,0.0,0.0,0.74,0.0,0.2,-0.2,-1.66,-1.21,Matches
Enzo Mongo,fr FRA,DF,18.0,1,10.0,10.0,0.3,0.1,0,0.0,0,1,10.0,2,3.0,0.0,1.0,-1.0,-9.0,-8.29,0.0,0.3,-0.3,-2.92,-2.47,Matches
Lamine Diack,sn SEN,MF,22.0,1,1.0,1.0,0.0,0.0,0,0.0,0,1,1.0,8,3.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.46,Matches
Mohamed Achi,fr FRA,MF,21.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Loïc Affamah,fr FRA,FW,21.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dehmaine Assoumani,fr FRA,FW,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hugo Barbet,fr FRA,GK,21.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Junior Diaz,ci CIV,DF,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yannis M'Bemba,ga GAB,DF,22.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mathis Oger,fr FRA,MF,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.8,34,3060.0,90.0,100.0,34.0,374,81.0,217,154,20.0,150,0.97,30.0,55.0,-25.0,-0.74,0.0,37.6,53.0,-15.5,-0.45,0.0,0
Opponent Total,0,0,25.8,34,3060.0,90.0,100.0,34.0,374,81.0,220,150,18.0,156,1.85,55.0,30.0,25.0,0.74,0.0,53.0,37.6,15.5,0.45,0.0,0
