Player,Nation,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Position_2,Position,League
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Nabil Alioui,FRA,Le Havre,24,1999,11.2,40,3.56,24,11,3,2,0,0,2,0.18,1,1,0,0,0,0,Forward,Midfielder,Ligue 1
Alisson,BRA,Liverpool,30,1992,28.0,11,0.39,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Premier League
Tadeo Allende,ARG,Celta Vigo,24,1999,3.7,9,2.41,4,0,1,3,1,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,La Liga
Jim Allevinah,GAB,Clermont Foot,28,1995,20.7,58,2.80,37,2,6,6,6,1,3,0.15,3,0,0,0,0,0,Defender,Midfielder,Ligue 1
Domingos André Ribeiro Almeida,POR,Valencia,23,2000,10.7,29,2.71,18,3,3,3,2,0,1,0.09,1,0,0,0,0,0,Midfielder,Forward,La Liga
Miguel Almirón,PAR,Newcastle Utd,29,1994,21.5,52,2.41,40,1,3,7,1,0,4,0.19,2,1,0,1,0,0,,Forward,Premier League
Pontus Almqvist,SWE,Lecce,24,1999,23.4,64,2.74,38,1,9,5,8,3,7,0.30,4,0,0,0,2,1,Midfielder,Forward,Serie A
Marcos Alonso,ESP,Barcelona,32,1990,2.8,8,2.86,7,1,0,0,0,0,1,0.36,1,0,0,0,0,0,,Defender,La Liga
Adrià Altimira,ESP,Villarreal,22,2001,8.6,6,0.70,6,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Midfielder,Defender,La Liga
Sergi Altimira,ESP,Betis,21,2001,6.3,14,2.22,8,1,2,1,2,0,0,0.00,0,0,0,0,0,0,,Midfielder,La Liga
Edson Álvarez,MEX,West Ham,25,1997,26.4,32,1.21,24,0,2,3,0,3,2,0.08,2,0,0,0,0,0,,Midfielder,Premier League
Gastón Álvarez,URU,Getafe,23,2000,28.2,22,0.78,17,1,1,3,0,0,1,0.04,1,0,0,0,0,0,,Defender,La Liga
Hugo Álvarez,ESP,Celta Vigo,20,2003,8.5,31,3.66,25,2,4,0,0,0,2,0.24,1,0,1,0,0,0,Defender,Midfielder,La Liga
