Player,Nation,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Position_2,Position,League
Yasser Larouci,ALG,Sheffield Utd,22,2001,5.9,8,1.36,5,1,1,1,0,0,0,0.00,0,0,0,0,0,0,,Defender,Premier League
Hugo Larsson,SWE,Eint Frankfurt,19,2004,21.0,25,1.19,23,0,0,2,0,0,5,0.24,4,0,0,1,0,0,,Midfielder,Bundesliga
Jamaal Lascelles,ENG,Newcastle Utd,29,1993,12.0,8,0.67,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,,Defender,Premier League
Juanmi Latasa,ESP,Getafe,22,2001,17.3,33,1.91,23,0,0,6,4,0,1,0.06,0,0,0,0,1,0,,Forward,La Liga
Toni Lato,ESP,Mallorca,25,1997,17.2,30,1.75,22,2,1,1,3,1,1,0.06,1,0,0,0,0,0,,Defender,La Liga
Armand Lauriente,FRA,Sassuolo,24,1998,32.3,110,3.40,67,16,12,7,8,0,8,0.25,4,1,0,2,1,0,,Forward,Serie A
Roméo Lavia,BEL,Chelsea,19,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Premier League
Lázaro,BRA,Almería,21,2002,3.2,12,3.80,7,2,0,2,1,0,1,0.32,0,0,0,1,0,0,Midfielder,Forward,La Liga
Valentino Lazaro,AUT,Torino,27,1996,22.2,58,2.62,36,18,2,1,1,0,5,0.23,4,1,0,0,0,0,Midfielder,Defender,Serie A
Darko Lazović,SRB,Hellas Verona,32,1990,21.4,60,2.80,38,13,1,6,1,1,3,0.14,3,0,0,0,0,0,Midfielder,Forward,Serie A
Manuel Lazzari,ITA,Lazio,29,1993,18.6,32,1.72,27,0,0,2,3,0,5,0.27,5,0,0,0,0,0,,Defender,Serie A
Théo Le Bris,FRA,Lorient,20,2002,16.8,28,1.66,20,1,1,4,2,0,4,0.24,1,0,0,2,1,0,Midfielder,Defender,Ligue 1
Julien Le Cardinal,FRA,Brest,25,1997,5.3,9,1.71,4,1,1,1,1,1,2,0.38,1,0,0,0,1,0,,Defender,Ligue 1
Julien Le Cardinal,FRA,Lens,25,1997,0.6,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Jérémy Le Douaron,FRA,Brest,25,1998,18.0,32,1.78,21,0,4,3,4,0,4,0.22,2,0,0,1,1,0,,Forward,Ligue 1
Enzo Le Fée,FRA,Rennes,23,2000,17.0,57,3.36,47,4,2,2,1,1,1,0.06,1,0,0,0,0,0,,Midfielder,Ligue 1
Vincent Le Goff,FRA,Lorient,33,1989,6.0,13,2.17,11,2,0,0,0,0,1,0.17,1,0,0,0,0,0,Midfielder,Defender,Ligue 1
Robin Le Normand,ESP,Real Sociedad,26,1996,27.4,17,0.62,15,0,0,1,1,0,1,0.04,1,0,0,0,0,0,,Defender,La Liga
Nicola Leali,ITA,Genoa,30,1993,2.0,1,0.51,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Rafael Leão,POR,Milan,24,1999,27.9,135,4.83,92,5,23,5,10,0,26,0.93,17,0,8,0,1,0,,Forward,Serie A
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Adrien Lebeau,FRA,Brest,24,1999,0.6,4,6.67,3,1,0,0,0,0,1,1.67,1,0,0,0,0,0,Forward,Midfielder,Ligue 1
Jean-Louis Leca,FRA,Lens,37,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Ligue 1
Benjamin Lecomte,FRA,Montpellier,32,1991,30.0,8,0.27,6,2,0,0,0,0,1,0.03,1,0,0,0,0,0,,Goalkeeper,Ligue 1
Jeremías Ledesma,ARG,Cádiz,30,1993,33.9,7,0.21,3,4,0,0,0,0,2,0.06,1,1,0,0,0,0,,Goalkeeper,La Liga
Pierre Lees-Melou,FRA,Brest,30,1993,28.0,84,3.00,60,0,5,9,3,7,5,0.18,3,0,1,0,0,1,,Midfielder,Ligue 1
Diogo Leite,POR,Union Berlin,24,1999,30.0,24,0.80,19,0,0,1,3,1,3,0.10,3,0,0,0,0,0,,Defender,Bundesliga
Maxim Leitsch,GER,Mainz 05,25,1998,4.2,1,0.24,1,0,0,0,0,0,1,0.24,1,0,0,0,0,0,,Defender,Bundesliga
Florian Lejeune,FRA,Rayo Vallecano,32,1991,37.0,44,1.19,31,3,0,8,2,0,3,0.08,2,0,0,1,0,0,,Defender,La Liga
Stefan Lekovic,SRB,Villarreal,19,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,La Liga
Iñigo Lekue,ESP,Athletic Club,30,1993,22.2,35,1.57,29,4,1,1,0,0,7,0.31,7,0,0,0,0,0,,Defender,La Liga
Thomas Lemar,FRA,Atlético Madrid,27,1995,1.8,3,1.66,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,La Liga
Mario Lemina,GAB,Wolves,29,1993,33.0,47,1.42,42,0,0,4,1,0,5,0.15,4,0,0,0,1,0,,Midfielder,Premier League
Álvaro Lemos,ESP,Las Palmas,30,1993,2.8,1,0.36,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,La Liga
Ruben Lendinez,ESP,Valencia,20,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,La Liga
Clément Lenglet,FRA,Aston Villa,28,1995,12.8,15,1.17,11,1,0,3,0,0,1,0.08,1,0,0,0,0,0,,Defender,Premier League
Bernd Leno,GER,Fulham,31,1992,38.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Premier League
Christopher Lenz,GER,RB Leipzig,28,1994,0.5,2,3.83,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Defender,Bundesliga
Christopher Lenz,GER,Eint Frankfurt,28,1994,0.1,1,8.18,1,0,0,0,0,0,1,8.18,1,0,0,0,0,0,,Defender,Bundesliga
Johann Lepenant,FRA,Lyon,20,2002,2.8,7,2.48,6,0,0,1,0,0,1,0.35,1,0,0,0,0,0,,Midfielder,Ligue 1
Jefferson Lerma,COL,Crystal Palace,28,1994,26.7,55,2.06,49,0,1,3,1,1,4,0.15,4,0,0,0,0,0,Defender,Midfielder,Premier League
Léo Leroy,FRA,Montpellier,23,2000,5.5,8,1.44,6,0,0,2,0,0,1,0.18,1,0,0,0,0,0,,Midfielder,Ligue 1
Robert Lewandowski,POL,Barcelona,34,1988,30.6,63,2.06,42,1,4,10,6,0,12,0.39,10,0,0,0,2,0,,Forward,La Liga
Jamie Leweling,GER,Stuttgart,22,2001,16.9,61,3.61,39,1,9,9,1,2,8,0.47,6,0,1,1,0,0,Midfielder,Forward,Bundesliga
Rico Lewis,ENG,Manchester City,18,2004,9.0,15,1.67,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Defender,Premier League
Keane Lewis-Potter,ENG,Brentford,22,2001,16.0,33,2.06,21,0,6,4,2,0,2,0.12,1,0,0,1,0,0,Defender,Forward,Premier League
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Philipp Lienhart,AUT,Freiburg,27,1996,14.1,14,1.00,13,0,0,1,0,0,1,0.07,1,0,0,0,0,0,,Defender,Bundesliga
Matthijs de Ligt,NED,Bayern Munich,23,1999,15.4,13,0.84,11,0,0,2,0,0,1,0.06,1,0,0,0,0,0,,Defender,Bundesliga
Victor Lindelöf,SWE,Manchester Utd,29,1994,14.8,19,1.29,19,0,0,0,0,0,3,0.20,3,0,0,0,0,0,,Defender,Premier League
Jesper Lindstrøm,DEN,Napoli,23,2000,4.8,24,5.01,17,3,3,1,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Forward,Serie A
Jesper Lindstrøm,DEN,Eint Frankfurt,23,2000,0.9,2,2.17,2,0,0,0,0,0,1,1.08,1,0,0,0,0,0,,Forward,Bundesliga
Karol Linetty,POL,Torino,28,1995,20.6,36,1.74,27,4,1,2,2,0,1,0.05,1,0,0,0,0,0,,Midfielder,Serie A
Samuel Lino,BRA,Atlético Madrid,23,1999,23.1,77,3.33,54,1,7,4,9,2,12,0.52,9,0,1,1,1,0,Midfielder,Defender,La Liga
Luca Lipani,ITA,Sassuolo,18,2005,4.3,9,2.10,5,0,2,1,0,1,0,0.00,0,0,0,0,0,0,,Midfielder,Serie A
Pol Lirola,ESP,Frosinone,25,1997,17.1,32,1.88,28,2,1,0,0,1,1,0.06,1,0,0,0,0,0,,Defender,Serie A
Marcin Listkowski,POL,Lecce,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Serie A
Valentino Livramento,ENG,Newcastle Utd,20,2002,14.6,36,2.47,28,0,2,1,3,2,5,0.34,3,0,1,0,1,0,,Defender,Premier League
Dejan Ljubicic,AUT,Köln,25,1997,22.8,61,2.68,52,1,1,5,1,1,2,0.09,1,0,0,1,0,0,Forward,Midfielder,Bundesliga
Javier Llabrés,ESP,Mallorca,20,2002,2.7,7,2.55,2,4,1,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,La Liga
Diego Llorente,ESP,Roma,29,1993,24.1,22,0.91,19,0,0,2,1,0,2,0.08,2,0,0,0,0,0,,Defender,Serie A
Marcos Llorente,ESP,Atlético Madrid,28,1995,28.5,48,1.68,40,0,3,2,3,0,8,0.28,7,0,0,1,0,0,Defender,Midfielder,La Liga
Gautier Lloris,FRA,Le Havre,28,1995,30.9,18,0.58,16,1,0,1,0,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Abou Lô,SEN,Metz,23,2000,2.2,2,0.91,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Defender,Midfielder,Ligue 1
Giovani Lo Celso,ARG,Tottenham,27,1996,5.6,28,4.96,22,2,1,2,1,0,3,0.53,3,0,0,0,0,0,,Midfielder,Premier League
Stanislav Lobotka,SVK,Napoli,28,1994,36.5,88,2.41,77,1,4,1,4,1,4,0.11,4,0,0,0,0,0,,Midfielder,Serie A
Manuel Locatelli,ITA,Juventus,25,1998,33.4,80,2.39,73,2,1,2,1,1,7,0.21,7,0,0,0,0,0,,Midfielder,Serie A
Bradley Locko,FRA,Brest,21,2002,32.9,63,1.92,49,2,6,2,3,1,7,0.21,6,0,1,0,0,0,,Defender,Ligue 1
Tom Lockyer,WAL,Luton Town,28,1994,13.0,10,0.77,9,0,0,0,0,1,1,0.08,1,0,0,0,0,0,,Defender,Premier League
Renan Lodi,BRA,Marseille,25,1998,13.7,27,1.97,18,8,0,0,1,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Ruben Loftus-Cheek,ENG,Milan,27,1996,23.0,51,2.22,45,0,1,3,2,0,6,0.26,3,0,1,1,1,0,,Midfielder,Serie A
Andy Logbo,FRA,Le Havre,19,2004,2.8,3,1.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Ligue 1
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Enzo Loiodice,FRA,Las Palmas,22,2000,19.9,41,2.06,34,4,1,0,2,0,2,0.10,1,1,0,0,0,0,,Midfielder,La Liga
Sean Longstaff,ENG,Newcastle Utd,25,1997,30.5,51,1.67,43,1,1,3,3,0,7,0.23,3,1,1,1,1,0,,Midfielder,Premier League
Ademola Lookman,NGA,Atalanta,25,1997,21.0,101,4.81,65,10,16,4,4,2,14,0.67,9,1,2,1,1,0,Midfielder,Forward,Serie A
Noah Loosli,SUI,Bochum,26,1997,3.8,2,0.52,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Bundesliga
Anthony Lopes,POR,Lyon,32,1990,31.0,3,0.10,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,,Goalkeeper,Ligue 1
David López,ESP,Girona,33,1989,21.8,13,0.60,8,1,1,3,0,0,1,0.05,1,0,0,0,0,0,,Defender,La Liga
Diego López,ESP,Valencia,21,2002,29.5,79,2.68,65,0,5,2,3,4,11,0.37,9,0,1,1,0,0,Forward,Midfielder,La Liga
Fermin López,ESP,Barcelona,20,2003,16.1,42,2.61,33,0,5,4,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,La Liga
Javi López,ESP,Alavés,21,2002,26.5,51,1.92,39,2,4,2,4,0,8,0.30,6,0,1,0,1,0,,Defender,La Liga
Maxime Lopez,FRA,Fiorentina,25,1997,8.9,19,2.14,14,3,0,1,0,1,2,0.23,1,1,0,0,0,0,,Midfielder,Serie A
Maxime Lopez,FRA,Sassuolo,25,1997,1.6,5,3.21,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Serie A
Pau López,ESP,Marseille,28,1994,32.7,10,0.31,9,1,0,0,0,0,1,0.03,1,0,0,0,0,0,,Goalkeeper,Ligue 1
Unai López,ESP,Rayo Vallecano,27,1995,23.4,58,2.47,34,15,2,4,0,3,3,0.13,2,0,0,0,0,1,,Midfielder,La Liga
Dion Lopy,SEN,Almería,21,2002,21.3,45,2.11,34,0,4,1,5,1,3,0.14,3,0,0,0,0,0,,Midfielder,La Liga
Anthony Losilla,FRA,Bochum,37,1986,28.6,43,1.50,34,0,2,3,3,1,2,0.07,2,0,0,0,0,0,,Midfielder,Bundesliga
Jordan Lotomba,SUI,Nice,24,1998,20.0,27,1.35,19,3,1,2,2,0,1,0.05,1,0,0,0,0,0,,Defender,Ligue 1
Tom Louchet,FRA,Nice,20,2003,4.5,14,3.10,6,5,0,1,2,0,2,0.44,1,0,0,0,1,0,Defender,Midfielder,Ligue 1
Imran Louza,MAR,Lorient,24,1999,9.6,46,4.80,25,16,1,3,1,0,3,0.31,2,1,0,0,0,0,,Midfielder,Ligue 1
Matteo Lovato,ITA,Torino,23,2000,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Matteo Lovato,ITA,Salernitana,23,2000,10.5,10,0.95,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Dejan Lovren,CRO,Lyon,34,1989,8.0,4,0.50,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Sandi Lovrić,SVN,Udinese,25,1998,22.1,78,3.53,48,21,3,6,0,0,7,0.32,4,1,1,1,0,0,,Midfielder,Serie A
Max Lowe,ENG,Sheffield Utd,26,1997,5.6,8,1.43,7,0,0,1,0,0,1,0.18,1,0,0,0,0,0,Midfielder,Defender,Premier League
Anthony Lozano,HON,Getafe,30,1993,1.0,2,1.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,La Liga
Anthony Lozano,HON,Almería,30,1993,8.6,19,2.22,12,1,1,0,5,0,1,0.12,0,0,0,0,1,0,,Forward,La Liga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Lucas,BRA,Cádiz,22,2001,17.1,41,2.40,31,8,0,1,0,1,1,0.06,0,0,0,0,0,1,,Defender,La Liga
Lorenzo Lucca,ITA,Udinese,22,2000,28.8,46,1.60,29,0,1,9,6,1,4,0.14,3,0,0,1,0,0,,Forward,Serie A
Jhon Lucumí,COL,Bologna,25,1998,24.6,20,0.81,17,0,1,2,0,0,1,0.04,0,0,0,1,0,0,,Defender,Serie A
José Luis Gayà,ESP,Valencia,28,1995,19.9,45,2.26,40,2,1,0,0,2,7,0.35,7,0,0,0,0,0,,Defender,La Liga
José Luis Morales,ESP,Villarreal,36,1987,11.6,24,2.06,15,0,3,5,1,0,3,0.26,3,0,0,0,0,0,Midfielder,Forward,La Liga
José Luis Palomino,ARG,Atalanta,33,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Douglas Luiz,BRA,Aston Villa,25,1998,33.3,117,3.52,61,34,6,10,5,1,10,0.30,5,4,0,0,1,0,,Midfielder,Premier League
Romelu Lukaku,BEL,Roma,30,1993,29.3,67,2.28,56,0,3,6,1,1,9,0.31,8,0,1,0,0,0,,Forward,Serie A
Castello Lukeba,FRA,RB Leipzig,20,2002,24.3,12,0.49,12,0,0,0,0,0,1,0.04,1,0,0,0,0,0,,Defender,Bundesliga
Dodi Lukebakio,BEL,Sevilla,25,1997,12.5,48,3.84,32,2,8,1,5,0,6,0.48,5,0,1,0,0,0,Midfielder,Forward,La Liga
Saša Lukić,SRB,Fulham,26,1996,12.5,27,2.17,19,0,1,6,0,1,0,0.00,0,0,0,0,0,0,,Midfielder,Premier League
Karlo Lulić,CRO,Frosinone,27,1996,0.2,1,4.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Serie A
Andriy Lunin,UKR,Real Madrid,24,1999,21.0,2,0.10,2,0,0,0,0,0,1,0.05,1,0,0,0,0,0,,Goalkeeper,La Liga
Sebastiano Luperto,ITA,Empoli,26,1996,37.8,29,0.77,21,2,0,4,1,1,1,0.03,1,0,0,0,0,0,,Defender,Serie A
Mateus Lusuardi,BRA,Frosinone,19,2004,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Andreas Luthe,GER,Bochum,36,1987,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Bundesliga
Zito Luvumbo,ANG,Cagliari,21,2002,21.6,65,3.01,39,1,10,4,11,0,7,0.32,6,0,0,0,1,0,Midfielder,Forward,Serie A
Charalambos Lykogiannis,GRE,Bologna,29,1993,10.0,19,1.89,13,4,1,1,0,0,3,0.30,2,0,1,0,0,0,,Defender,Serie A
Senne Lynen,BEL,Werder Bremen,24,1999,20.0,27,1.35,25,0,0,0,0,2,5,0.25,5,0,0,0,0,0,,Midfielder,Bundesliga
Joshua M'Bahia,CIV,Clermont Foot,18,2005,0.2,3,19.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Ligue 1
Othmane Maamma,FRA,Montpellier,17,2005,1.0,7,7.16,3,0,3,0,1,0,0,0.00,0,0,0,0,0,0,,Forward,Ligue 1
Ian Maatsen,NED,Chelsea,21,2002,2.3,5,2.15,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Forward,Premier League
Ian Maatsen,NED,Dortmund,21,2002,14.0,27,1.92,26,0,0,0,0,1,5,0.36,4,0,0,0,0,1,,Defender,Bundesliga
Alexis Mac Allister,ARG,Liverpool,24,1998,28.9,108,3.74,92,5,3,1,5,2,12,0.42,10,1,1,0,0,0,,Midfielder,Premier League
Deiver Machado,COL,Lens,29,1993,12.5,24,1.92,18,0,1,2,3,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Darwin Machís,VEN,Cádiz,30,1993,8.7,21,2.40,12,7,0,1,1,0,1,0.11,1,0,0,0,0,0,,Midfielder,La Liga
James Maddison,ENG,Tottenham,26,1996,23.7,161,6.79,110,22,10,6,10,3,19,0.80,13,1,2,1,1,1,,Midfielder,Premier League
Noni Madueke,ENG,Chelsea,21,2002,11.7,51,4.35,34,1,8,2,6,0,8,0.68,4,0,1,0,3,0,,Forward,Premier League
Pablo Maffeo,ESP,Mallorca,26,1997,16.2,37,2.21,18,4,6,2,6,1,5,0.30,3,0,0,1,1,0,,Defender,La Liga
Gabriel Magalhães,BRA,Arsenal,25,1997,33.8,23,0.68,20,1,0,1,0,1,3,0.09,3,0,0,0,0,0,,Defender,Premier League
Soungoutou Magassa,FRA,Monaco,19,2003,15.0,13,0.87,11,0,0,1,0,1,1,0.07,1,0,0,0,0,0,Midfielder,Defender,Ligue 1
Giulio Maggiore,ITA,Salernitana,25,1998,20.0,32,1.60,22,0,1,6,2,1,3,0.15,3,0,0,0,0,0,,Midfielder,Serie A
Matej Maglica,CRO,Darmstadt 98,24,1998,18.9,21,1.11,18,1,0,1,0,1,0,0.00,0,0,0,0,0,0,,Defender,Bundesliga
Giangiacomo Magnani,ITA,Hellas Verona,27,1995,27.2,22,0.81,19,0,1,0,1,1,6,0.22,5,0,0,0,0,1,,Defender,Serie A
Hugo Magnetti,FRA,Brest,25,1998,26.0,60,2.31,47,0,5,6,1,1,5,0.19,2,0,1,2,0,0,,Midfielder,Ligue 1
Yohann Magnin,FRA,Clermont Foot,26,1997,18.7,28,1.50,23,2,0,1,1,1,2,0.11,1,0,0,1,0,0,,Midfielder,Ligue 1
Frank Magri,CMR,Toulouse,23,1999,16.0,32,2.00,21,1,4,2,4,0,3,0.19,2,0,0,1,0,0,Midfielder,Forward,Ligue 1
Harry Maguire,ENG,Manchester Utd,30,1993,18.4,24,1.31,19,0,0,1,1,3,4,0.22,2,0,0,1,1,0,,Defender,Premier League
Jon Magunacelaya,ESP,Real Sociedad,23,2000,1.3,3,2.23,1,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Midfielder,Forward,La Liga
Adel Mahamoud,COM,Nantes,20,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Ligue 1
Arne Maier,GER,Augsburg,24,1999,11.1,66,5.92,37,19,2,6,2,0,6,0.54,3,1,0,2,0,0,,Midfielder,Bundesliga
Habib Maïga,CIV,Metz,27,1996,1.6,1,0.61,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Ligue 1
Mike Maignan,FRA,Milan,28,1995,29.0,8,0.28,7,1,0,0,0,0,1,0.03,1,0,0,0,0,0,,Goalkeeper,Serie A
Linton Maina,GER,Köln,24,1999,21.1,58,2.75,44,1,3,3,6,1,5,0.24,4,0,0,0,1,0,Midfielder,Forward,Bundesliga
Patrick Mainka,GER,Heidenheim,28,1994,34.0,26,0.76,16,0,0,8,0,2,1,0.03,1,0,0,0,0,0,,Defender,Bundesliga
Kobbie Mainoo,ENG,Manchester Utd,18,2005,21.4,40,1.87,31,0,3,3,2,1,8,0.37,3,0,2,2,1,0,,Midfielder,Premier League
Ainsley Maitland-Niles,ENG,Lyon,25,1997,15.9,33,2.07,27,0,0,4,1,1,7,0.44,7,0,0,0,0,0,Midfielder,Defender,Ligue 1
Radosław Majecki,POL,Monaco,23,1999,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Ligue 1
Lovro Majer,CRO,Rennes,25,1998,0.2,2,10.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Ligue 1
Lovro Majer,CRO,Wolfsburg,25,1998,23.4,84,3.59,64,10,2,4,4,0,11,0.47,8,0,1,1,1,0,Forward,Midfielder,Bundesliga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Jean-Victor Makengo,FRA,Lorient,25,1998,5.3,4,0.75,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Ligue 1
Jordy Makengo,FRA,Freiburg,21,2001,11.4,17,1.49,16,1,0,0,0,0,1,0.09,1,0,0,0,0,0,,Defender,Bundesliga
Antoine Makoumbou,CGO,Cagliari,25,1998,30.0,51,1.70,42,2,4,1,1,1,2,0.07,1,0,0,0,0,1,,Midfielder,Serie A
Nemanja Maksimović,SRB,Getafe,28,1995,36.3,46,1.27,35,0,0,6,2,3,5,0.14,3,0,0,2,0,0,,Midfielder,La Liga
Julián Malatini,ARG,Werder Bremen,22,2001,6.7,6,0.90,5,0,1,0,0,0,1,0.15,0,0,1,0,0,0,,Defender,Bundesliga
Daniel Maldini,ITA,Monza,21,2001,3.7,19,5.14,13,2,4,0,0,0,2,0.54,2,0,0,0,0,0,Forward,Midfielder,Serie A
Daniel Maldini,ITA,Empoli,21,2001,2.9,7,2.40,3,1,2,0,1,0,0,0.00,0,0,0,0,0,0,Midfielder,Forward,Serie A
Youssef Maleh,MAR,Empoli,24,1998,28.9,62,2.14,51,5,2,3,0,1,2,0.07,2,0,0,0,0,0,,Midfielder,Serie A
Donyell Malen,NED,Dortmund,24,1999,19.8,74,3.74,49,0,7,13,4,1,14,0.71,6,0,2,3,2,1,Midfielder,Forward,Bundesliga
Ruslan Malinovskyi,UKR,Genoa,30,1993,17.2,34,1.98,23,3,1,4,3,0,2,0.12,2,0,0,0,0,0,,Midfielder,Serie A
Lennard Maloney,USA,Heidenheim,23,1999,25.4,20,0.79,16,0,0,3,0,1,2,0.08,2,0,0,0,0,0,,Midfielder,Bundesliga
Aaron Malouda,FRA,Lille,17,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Ligue 1
Giorgi Mamardashvili,GEO,Valencia,22,2000,36.5,7,0.19,2,5,0,0,0,0,1,0.03,0,1,0,0,0,0,,Goalkeeper,La Liga
David Mamutovic,GER,Mainz 05,22,2000,0.1,1,8.18,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Defender,Forward,Bundesliga
Wilson Manafá,POR,Granada,29,1994,2.7,1,0.37,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Defender,La Liga
Hianga Mananga Mbock,FRA,Brest,23,1999,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Ligue 1
Gianluca Mancini,ITA,Roma,27,1996,31.9,28,0.88,23,0,1,2,1,1,1,0.03,1,0,0,0,0,0,,Defender,Serie A
Marco Mancosu,ITA,Cagliari,34,1988,1.7,7,4.04,4,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Serie A
Steve Mandanda,FRA,Rennes,38,1985,34.0,3,0.09,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Ligue 1
Christos Mandas,GRE,Lazio,21,2001,8.0,1,0.12,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Reinildo Mandava,MOZ,Atlético Madrid,29,1994,8.1,12,1.48,8,1,3,0,0,0,2,0.25,1,0,1,0,0,0,,Defender,La Liga
Aïssa Mandi,ALG,Villarreal,31,1991,12.4,15,1.21,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,La Liga
Rolando Mandragora,ITA,Fiorentina,26,1997,17.6,35,1.98,23,6,3,3,0,0,8,0.45,5,1,1,1,0,0,,Midfielder,Serie A
Orel Mangala,BEL,Nott'ham Forest,25,1998,17.4,20,1.15,17,0,0,0,1,2,2,0.12,1,0,0,0,0,1,,Midfielder,Premier League
Orel Mangala,BEL,Lyon,25,1998,4.4,13,2.95,11,0,1,0,1,0,1,0.23,1,0,0,0,0,0,,Midfielder,Ligue 1
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Vito Mannone,ITA,Lille,35,1988,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Ligue 1
