Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches,League,Team,Playing Time MP
Carlos Isaac,es ESP,"DF,MF",26-052,32.0,22,1939.0,21.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.7,2.7,39.0,87.0,136.0,0.05,0.05,0.09,0.05,0.09,0.04,0.08,0.12,0.04,0.12,Matches,Segunda Division,Albacete,
Dani Escriche,es ESP,FW,26-089,33.0,22,1882.0,20.9,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,6.3,6.3,3.6,9.8,45.0,43.0,167.0,0.14,0.19,0.33,0.14,0.33,0.3,0.17,0.47,0.3,0.47,Matches,Segunda Division,Albacete,
Álvaro Rodríguez,es ESP,DF,29-335,30.0,21,1789.0,19.9,2.0,3.0,5.0,2.0,0.0,0.0,8.0,1.0,0.9,0.9,2.3,3.2,51.0,84.0,113.0,0.1,0.15,0.25,0.1,0.25,0.04,0.12,0.16,0.04,0.16,Matches,Segunda Division,Albacete,
Jonathan Silva,ar ARG,DF,29-358,29.0,19,1659.0,18.4,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,1.0,1.0,1.7,2.7,29.0,64.0,83.0,0.16,0.0,0.16,0.16,0.16,0.05,0.09,0.15,0.05,0.15,Matches,Segunda Division,Albacete,
Higinio Marín,es ESP,FW,30-246,31.0,16,1342.0,14.9,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,6.4,6.4,3.0,9.4,13.0,17.0,73.0,0.34,0.2,0.54,0.34,0.54,0.43,0.2,0.63,0.43,0.63,Matches,Segunda Division,Albacete,
Tomáš Vaclík,cz CZE,GK,35-084,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Albacete,
Juan Antonio Ros,es ESP,DF,28-098,22.0,11,1095.0,12.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,0.1,1.0,4.0,31.0,0.0,0.08,0.0,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,Matches,Segunda Division,Albacete,
Kaiky,br BRA,DF,20-161,12.0,10,941.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.0,0.6,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Segunda Division,Albacete,
Fidel,es ESP,"MF,FW",34-238,14.0,8,751.0,8.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,2.6,3.8,24.0,55.0,66.0,0.0,0.24,0.24,0.0,0.24,0.14,0.31,0.45,0.14,0.45,Matches,Segunda Division,Albacete,
Rai Marchán,es ESP,MF,30-315,15.0,6,569.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches,Segunda Division,Albacete,
Altube,es ESP,GK,24-120,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Albacete,
Antonio Pacheco,es ESP,MF,22-170,27.0,3,604.0,6.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1,1.7,12.0,44.0,17.0,0.15,0.15,0.3,0.15,0.3,0.08,0.17,0.25,0.08,0.25,Matches,Segunda Division,Albacete,
Toni Datković,hr CRO,DF,30-228,8.0,3,320.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Segunda Division,Albacete,
Samuel Shashoua,eng ENG,"FW,MF",25-039,17.0,1,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.7,11.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.27,0.2,0.27,Matches,Segunda Division,Albacete,
Pedro Benito,es ESP,FW,24-086,7.0,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.32,1.32,1.32,Matches,Segunda Division,Albacete,
Jovanny Bolívar,ve VEN,FW,22-188,1.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,Segunda Division,Albacete,
Javi Vargas,es ESP,MF,23-107,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Albacete,
Sergi Maestre,es ESP,MF,33-216,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Albacete,
Marcos Moreno,es ESP,FW,20-128,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Albacete,
Luis Roldán,es ESP,MF,21-096,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Albacete,
Javier Castro,es ESP,DF,23-282,,36,3203.0,35.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,0.3,1.7,25.0,87.0,17.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,Matches,Segunda Division,Alcorcon,40.0
Jacobo,es ESP,"MF,FW",27-088,,32,2625.0,29.2,5.0,3.0,8.0,5.0,0.0,0.0,11.0,0.0,5.0,5.0,3.5,8.5,54.0,68.0,169.0,0.17,0.1,0.27,0.17,0.27,0.17,0.12,0.29,0.17,0.29,Matches,Segunda Division,Alcorcon,36.0
Chiki,es ESP,"FW,MF",27-260,,32,2611.0,29.0,4.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,5.6,4.8,1.1,5.9,30.0,60.0,101.0,0.14,0.0,0.14,0.14,0.14,0.19,0.04,0.23,0.17,0.2,Matches,Segunda Division,Alcorcon,36.0
Víctor García,es ESP,"MF,DF",27-172,,31,2764.0,30.7,3.0,3.0,6.0,3.0,0.0,0.0,9.0,2.0,2.4,2.4,3.6,6.0,93.0,101.0,169.0,0.1,0.1,0.2,0.1,0.2,0.08,0.12,0.2,0.08,0.2,Matches,Segunda Division,Alcorcon,37.0
Iago López,es ESP,DF,25-076,,31,2663.0,29.6,0.0,2.0,2.0,0.0,0.0,0.0,9.0,1.0,0.3,0.3,2.3,2.6,56.0,82.0,67.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,Matches,Segunda Division,Alcorcon,34.0
Yan Brice Eteki,cm CMR,MF,26-300,,31,2398.0,26.6,1.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.9,0.9,0.4,1.2,3.0,69.0,8.0,0.04,0.0,0.04,0.04,0.04,0.03,0.01,0.05,0.03,0.05,Matches,Segunda Division,Alcorcon,32.0
Jesús Ruiz,es ESP,GK,27-153,,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,29.0
Óscar Rivas,es ESP,"DF,MF",24-086,,24,2265.0,25.2,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,0.2,2.2,8.0,38.0,6.0,0.0,0.04,0.04,0.0,0.04,0.08,0.01,0.09,0.08,0.09,Matches,Segunda Division,Alcorcon,32.0
Xavi Quintillà,es ESP,DF,27-303,,21,1826.0,20.3,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.4,0.4,2.5,3.0,24.0,80.0,50.0,0.0,0.1,0.1,0.0,0.1,0.02,0.12,0.15,0.02,0.15,Matches,Segunda Division,Alcorcon,22.0
Chema,es ESP,DF,32-110,,20,1657.0,18.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,0.2,0.2,0.2,0.4,4.0,35.0,2.0,0.05,0.0,0.05,0.05,0.05,0.01,0.01,0.02,0.01,0.02,Matches,Segunda Division,Alcorcon,24.0
Emmanuel Addai,gh GHA,"FW,MF",22-325,,19,2079.0,23.1,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,2.6,6.6,90.0,62.0,176.0,0.13,0.17,0.3,0.13,0.3,0.17,0.11,0.29,0.17,0.29,Matches,Segunda Division,Alcorcon,35.0
Pedro Mosquera,es ESP,MF,36-061,,19,1822.0,20.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.7,1.0,12.0,99.0,10.0,0.05,0.0,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05,Matches,Segunda Division,Alcorcon,31.0
Javi Pérez,es ESP,MF,28-312,,19,1708.0,19.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.7,2.7,29.0,60.0,55.0,0.11,0.0,0.11,0.11,0.11,0.1,0.04,0.14,0.1,0.14,Matches,Segunda Division,Alcorcon,23.0
Jean-Sylvain Babin,mq MTQ,DF,37-251,,18,1699.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,6.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Segunda Division,Alcorcon,24.0
Javi Lara,es ESP,"MF,FW",38-200,,18,1448.0,16.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.4,2.1,27.0,106.0,32.0,0.06,0.06,0.12,0.06,0.12,0.04,0.09,0.13,0.04,0.13,Matches,Segunda Division,Alcorcon,32.0
David Morillas,es ESP,DF,37-267,,16,1265.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.7,1.8,14.0,36.0,29.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.13,0.01,0.13,Matches,Segunda Division,Alcorcon,21.0
Lucas Anacker,br BRA,GK,27-273,,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,13.0
Dyego Sousa,pt POR,FW,34-281,,9,994.0,11.0,7.0,0.0,7.0,6.0,1.0,1.0,5.0,0.0,4.9,4.1,0.8,4.9,19.0,27.0,66.0,0.63,0.0,0.63,0.54,0.54,0.44,0.07,0.52,0.37,0.45,Matches,Segunda Division,Alcorcon,23.0
Juanma Bravo,es ESP,"MF,FW",26-132,,9,937.0,10.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,0.2,1.7,16.0,34.0,34.0,0.1,0.1,0.19,0.1,0.19,0.14,0.02,0.17,0.14,0.17,Matches,Segunda Division,Alcorcon,24.0
Koldo Obieta,es ESP,FW,30-257,,8,905.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,0.6,2.1,7.0,13.0,38.0,0.1,0.0,0.1,0.1,0.1,0.14,0.06,0.2,0.14,0.2,Matches,Segunda Division,Alcorcon,29.0
Juan Artola,es ESP,"FW,MF",24-075,,8,815.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,0.9,2.4,7.0,10.0,44.0,0.0,0.0,0.0,0.0,0.0,0.17,0.09,0.26,0.17,0.26,Matches,Segunda Division,Alcorcon,29.0
Fede Vico,es ESP,"MF,FW",29-353,,8,692.0,7.7,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,1.4,1.7,8.0,27.0,29.0,0.13,0.39,0.52,0.13,0.52,0.03,0.19,0.22,0.03,0.22,Matches,Segunda Division,Alcorcon,16.0
Marciano Tchami,gw GNB,"FW,MF",20-110,,4,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,4.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.14,0.11,0.14,Matches,Segunda Division,Alcorcon,11.0
Álex López,es ESP,"MF,FW",27-019,,3,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.4,8.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.13,0.05,0.13,Matches,Segunda Division,Alcorcon,10.0
Álvaro Bustos,es ESP,"MF,FW",28-361,,3,247.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,7.0,5.0,15.0,0.0,0.36,0.36,0.0,0.36,0.31,0.16,0.47,0.31,0.47,Matches,Segunda Division,Alcorcon,8.0
Eric Callís,es ESP,DF,22-159,,1,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.3,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.19,0.22,0.03,0.22,Matches,Segunda Division,Alcorcon,2.0
Iker Bilbao,es ESP,"MF,FW",28-093,,0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,6.0
Jaime Garrido,es ESP,MF,21-063,,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.09,0.29,0.21,0.29,Matches,Segunda Division,Alcorcon,2.0
Iñigo García,es ESP,MF,20-172,,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,1.0
Israel García,es ESP,MF,20-144,,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,1.0
Eric Gómez,es ESP,MF,20-118,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,0.0
Iker Recio,es ESP,DF,23-004,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,0.0
Fer Romero,es ESP,DF,23-013,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,0.0
Álex Ruiz,es ESP,GK,23-033,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,0.0
Iker Vidal,es ESP,FW,19-182,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Alcorcon,0.0
Josué Dorrio,es ESP,"MF,FW",30-110,,39,3375.0,37.5,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,5.0,5.0,5.6,10.6,119.0,61.0,259.0,0.08,0.16,0.24,0.08,0.24,0.13,0.15,0.28,0.13,0.28,Matches,Segunda Division,Amorebieta,42.0
Kwasi Sibo,gh GHA,MF,25-363,,36,3137.0,34.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,1.2,1.2,0.7,1.9,11.0,111.0,18.0,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,Matches,Segunda Division,Amorebieta,39.0
Núñez,es ESP,"DF,MF",23-350,,35,3153.0,35.0,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,1.1,1.1,5.0,6.1,83.0,151.0,155.0,0.06,0.06,0.11,0.06,0.11,0.03,0.14,0.17,0.03,0.17,Matches,Segunda Division,Amorebieta,39.0
Felix Garreta,es ESP,DF,20-061,,29,2488.0,27.6,4.0,1.0,5.0,4.0,0.0,0.0,6.0,1.0,1.9,1.9,1.2,3.1,26.0,103.0,23.0,0.14,0.04,0.18,0.14,0.18,0.07,0.04,0.11,0.07,0.11,Matches,Segunda Division,Amorebieta,31.0
Pablo Cuñat,es ESP,GK,22-054,,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Amorebieta,26.0
Xabier Etxeita,es ESP,DF,36-234,,26,2280.0,25.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,0.8,1.8,10.0,52.0,5.0,0.0,0.04,0.04,0.0,0.04,0.04,0.03,0.07,0.04,0.07,Matches,Segunda Division,Amorebieta,26.0
Eneko Jauregi,es ESP,FW,27-344,,25,2265.0,25.2,6.0,2.0,8.0,6.0,0.0,1.0,3.0,0.0,5.7,4.9,0.6,5.5,14.0,43.0,115.0,0.24,0.08,0.32,0.24,0.32,0.23,0.02,0.25,0.19,0.22,Matches,Segunda Division,Amorebieta,37.0
Daniel Lasure,es ESP,"DF,MF",30-115,,25,2181.0,24.2,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.2,1.6,40.0,92.0,59.0,0.0,0.08,0.08,0.0,0.08,0.02,0.05,0.07,0.02,0.07,Matches,Segunda Division,Amorebieta,29.0
Jon Morcillo,es ESP,"MF,FW",25-280,,25,2103.0,23.4,4.0,2.0,6.0,4.0,0.0,1.0,2.0,0.0,3.7,2.9,2.6,5.5,57.0,55.0,169.0,0.17,0.09,0.26,0.17,0.26,0.16,0.11,0.27,0.12,0.23,Matches,Segunda Division,Amorebieta,37.0
Àlex Carbonell,es ESP,MF,26-280,,22,1963.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.1,1.1,1.7,2.8,24.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,Segunda Division,Amorebieta,31.0
Erik Morán,es ESP,MF,33-027,,22,1731.0,19.2,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,1.0,1.5,22.0,129.0,26.0,0.0,0.21,0.21,0.0,0.21,0.03,0.05,0.08,0.03,0.08,Matches,Segunda Division,Amorebieta,32.0
Manu Hernando,es ESP,DF,25-338,,21,1920.0,21.3,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.6,0.6,0.1,0.7,13.0,59.0,5.0,0.09,0.0,0.09,0.09,0.09,0.03,0.0,0.03,0.03,0.03,Matches,Segunda Division,Amorebieta,22.0
Josep Antoni Gayá,es ESP,DF,23-350,,17,1550.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.5,0.5,0.0,0.5,9.0,48.0,1.0,0.06,0.0,0.06,0.06,0.06,0.03,0.0,0.03,0.03,0.03,Matches,Segunda Division,Amorebieta,21.0
Unai Bustinza,es ESP,DF,32-140,,17,1488.0,16.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.2,1.2,0.5,1.7,8.0,58.0,8.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.1,0.07,0.1,Matches,Segunda Division,Amorebieta,17.0
Jon Mikel Magunagoitia,es ESP,GK,23-320,,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Segunda Division,Amorebieta,16.0
Ryan Edwards,au AUS,"MF,FW",30-217,,14,1336.0,14.8,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,0.4,3.5,18.0,36.0,46.0,0.27,0.0,0.27,0.27,0.27,0.2,0.03,0.23,0.2,0.23,Matches,Segunda Division,Amorebieta,36.0
Rayco Rodríguez Medina,es ESP,"MF,FW",27-210,,13,1182.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,1.7,3.4,26.0,35.0,84.0,0.08,0.15,0.23,0.08,0.23,0.13,0.13,0.26,0.13,0.26,Matches,Segunda Division,Amorebieta,29.0
Jorge Mier,es ESP,"DF,MF",25-138,,11,1041.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.5,13.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Segunda Division,Amorebieta,21.0
Iker Unzueta,es ESP,FW,25-322,,10,999.0,11.1,5.0,0.0,5.0,2.0,3.0,3.0,0.0,0.0,3.8,1.4,0.3,1.7,15.0,18.0,48.0,0.45,0.0,0.45,0.18,0.18,0.34,0.02,0.36,0.13,0.15,Matches,Segunda Division,Amorebieta,20.0
Javier Eraso,es ESP,"FW,MF",34-091,,9,790.0,8.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,0.7,1.9,6.0,19.0,44.0,0.23,0.0,0.23,0.23,0.23,0.14,0.08,0.22,0.14,0.22,Matches,Segunda Division,Amorebieta,23.0
Javier Avilés,es ESP,"FW,MF",26-309,,7,629.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.1,7.0,8.0,49.0,0.14,0.0,0.14,0.14,0.14,0.13,0.02,0.15,0.13,0.15,Matches,Segunda Division,Amorebieta,15.0
