Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches,League,Team,Playing Time MP
Marcos André,br BRA,DF,17-363,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Athletico Paranaense,
Lucas Belezi,br BRA,DF,21-043,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Athletico Paranaense,
Gabriel,br BRA,MF,31-346,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Athletico Paranaense,
Pedro Henrique,br BRA,DF,28-262,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Athletico Paranaense,
Jader,br BRA,FW,20-332,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Athletico Paranaense,
João Machado Cruz,br BRA,MF,18-039,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Athletico Paranaense,
Gabriel Pereira,br BRA,GK,21-354,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Athletico Paranaense,
Renan,br BRA,FW,21-141,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Athletico Paranaense,
Ronaldo,br BRA,GK,27-303,10.0,10,899.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.03,0.03,0.0,0.03,Matches,Brasil Serie A,Atletico Goianiense,
Shaylon,br BRA,"MF,FW",27-054,10.0,10,827.0,9.2,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.4,0.8,2.5,3.3,13.0,47.0,30.0,0.11,0.11,0.22,0.0,0.11,0.26,0.27,0.53,0.09,0.36,Matches,Brasil Serie A,Atletico Goianiense,
Guilherme Romão,br BRA,DF,26-257,9.0,9,810.0,9.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.2,2.4,24.0,49.0,50.0,0.11,0.22,0.33,0.11,0.33,0.13,0.14,0.26,0.13,0.26,Matches,Brasil Serie A,Atletico Goianiense,
Gabriel Baralhas,br BRA,MF,25-254,9.0,9,675.0,7.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,1.1,1.7,6.0,38.0,24.0,0.13,0.0,0.13,0.13,0.13,0.08,0.15,0.23,0.08,0.23,Matches,Brasil Serie A,Atletico Goianiense,
Luiz Fernando,br BRA,"FW,MF",27-248,8.0,8,711.0,7.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.4,1.9,23.0,21.0,67.0,0.25,0.0,0.25,0.25,0.25,0.19,0.06,0.24,0.19,0.24,Matches,Brasil Serie A,Atletico Goianiense,
Rhaldney,br BRA,MF,25-213,9.0,8,646.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.3,0.5,8.0,40.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,Brasil Serie A,Atletico Goianiense,
Maguinho,br BRA,"DF,FW",31-166,8.0,7,610.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.6,0.7,11.0,22.0,31.0,0.0,0.15,0.15,0.0,0.15,0.01,0.08,0.1,0.01,0.1,Matches,Brasil Serie A,Atletico Goianiense,
Adriano Martins,br BRA,DF,27-080,7.0,7,591.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.1,0.4,5.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,Brasil Serie A,Atletico Goianiense,
Alix Vinicius,br BRA,DF,24-227,7.0,7,548.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.1,0.6,3.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches,Brasil Serie A,Atletico Goianiense,
Emiliano Rodríguez,uy URU,FW,20-340,10.0,7,527.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.2,2.4,4.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.36,0.04,0.41,0.36,0.41,Matches,Brasil Serie A,Atletico Goianiense,
Lucas Kal,br BRA,"MF,DF",28-096,7.0,6,508.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Brasil Serie A,Atletico Goianiense,
Alejo Cruz,uy URU,"FW,MF",23-293,9.0,6,486.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.8,1.1,15.0,21.0,39.0,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.21,0.06,0.21,Matches,Brasil Serie A,Atletico Goianiense,
Bruno Tubarão,br BRA,DF,29-107,5.0,4,380.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,14.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Brasil Serie A,Atletico Goianiense,
Pedrão,br BRA,DF,31-185,6.0,3,310.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Brasil Serie A,Atletico Goianiense,
Budiga Roni,br BRA,MF,25-066,4.0,2,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Goianiense,
Luiz Felipe,br BRA,"DF,MF",30-285,3.0,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Brasil Serie A,Atletico Goianiense,
Vágner Love,br BRA,"FW,MF",40-009,6.0,2,176.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,0.0,1.4,1.0,2.0,7.0,0.51,0.0,0.51,0.51,0.51,0.72,0.01,0.73,0.72,0.73,Matches,Brasil Serie A,Atletico Goianiense,
Derek,br BRA,FW,26-201,5.0,1,159.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.8,1.9,3.0,6.0,7.0,0.57,0.0,0.57,0.57,0.57,0.64,0.43,1.06,0.64,1.06,Matches,Brasil Serie A,Atletico Goianiense,
Gabriel Barros,br BRA,"FW,MF",22-239,2.0,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Brasil Serie A,Atletico Goianiense,
Luiz Gustavo,br BRA,DF,21-021,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Goianiense,
Max,br BRA,"FW,MF",21-358,8.0,0,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,9.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.13,0.26,0.39,0.13,0.39,Matches,Brasil Serie A,Atletico Goianiense,
Danielzinho,br BRA,"MF,FW",28-161,4.0,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.02,0.13,Matches,Brasil Serie A,Atletico Goianiense,
Yony González,co COL,"MF,FW",29-345,3.0,0,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.18,0.12,0.18,Matches,Brasil Serie A,Atletico Goianiense,
Mateo Zuleta,co COL,"FW,MF",22-013,3.0,0,27.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,1.0,1.0,8.0,3.33,0.0,3.33,3.33,3.33,1.64,0.26,1.9,1.64,1.9,Matches,Brasil Serie A,Atletico Goianiense,
Pedro Rangel,br BRA,GK,23-357,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Goianiense,
Gustavo Daniel,br BRA,DF,19-105,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Goianiense,
Emerson Júnior,br BRA,GK,24-134,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Goianiense,
Dé Marcão,br BRA,DF,23-036,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Goianiense,
Randerson,0,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Goianiense,
Yeferson Rodallega,co COL,DF,23-210,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Goianiense,
Renzo Saravia,ar ARG,DF,31-004,8.0,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,19.0,51.0,21.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,Brasil Serie A,Atletico Mineiro,
Paulinho,br BRA,FW,23-341,8.0,8,670.0,7.4,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.7,1.9,0.5,2.4,23.0,22.0,66.0,0.4,0.13,0.54,0.27,0.4,0.36,0.06,0.42,0.25,0.32,Matches,Brasil Serie A,Atletico Mineiro,
Éverson,br BRA,GK,33-334,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Mineiro,
Gustavo Scarpa,br BRA,"DF,MF",30-167,8.0,7,570.0,6.3,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.5,0.5,1.4,1.9,21.0,38.0,55.0,0.32,0.32,0.63,0.32,0.63,0.08,0.22,0.3,0.08,0.3,Matches,Brasil Serie A,Atletico Mineiro,
Federico Zaracho,ar ARG,MF,26-102,8.0,7,477.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,5.0,15.0,21.0,0.38,0.0,0.38,0.38,0.38,0.1,0.03,0.13,0.1,0.13,Matches,Brasil Serie A,Atletico Mineiro,
Hulk,br BRA,FW,37-331,6.0,6,448.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.5,0.5,0.6,1.1,5.0,10.0,27.0,0.2,0.4,0.6,0.2,0.6,0.1,0.13,0.23,0.1,0.23,Matches,Brasil Serie A,Atletico Mineiro,
Otávio,br BRA,MF,30-047,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,7.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Brasil Serie A,Atletico Mineiro,
Alan Franco,ec ECU,MF,25-304,6.0,5,447.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.7,0.8,2.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.16,0.02,0.16,Matches,Brasil Serie A,Atletico Mineiro,
Rodrigo Battaglia,ar ARG,"DF,MF",32-344,5.0,5,395.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Brasil Serie A,Atletico Mineiro,
Guilherme Arana,br BRA,DF,27-067,6.0,4,462.0,5.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,11.0,36.0,34.0,0.19,0.19,0.39,0.19,0.39,0.03,0.07,0.1,0.03,0.1,Matches,Brasil Serie A,Atletico Mineiro,
Igor Gomes,br BRA,MF,25-095,7.0,4,378.0,4.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,5.0,25.0,15.0,0.0,0.48,0.48,0.0,0.48,0.05,0.19,0.25,0.05,0.25,Matches,Brasil Serie A,Atletico Mineiro,
Bruno Fuchs,br BRA,DF,25-080,4.0,4,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Brasil Serie A,Atletico Mineiro,
Alisson,br BRA,"DF,MF",18-273,7.0,3,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,12.0,15.0,38.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16,Matches,Brasil Serie A,Atletico Mineiro,
Mauricio Lemos,uy URU,DF,28-175,5.0,3,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches,Brasil Serie A,Atletico Mineiro,
Jemerson,br BRA,DF,31-301,3.0,3,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Mineiro,
Igor Rabello,br BRA,"DF,MF",29-053,6.0,2,276.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches,Brasil Serie A,Atletico Mineiro,
Rômulo,br BRA,DF,20-141,3.0,2,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Brasil Serie A,Atletico Mineiro,
Carlos Eduardo,br BRA,FW,20-027,5.0,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.23,0.21,0.23,Matches,Brasil Serie A,Atletico Mineiro,
Eduardo Vargas,cl CHI,"FW,MF",34-213,6.0,1,151.0,1.7,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.4,2.4,3.0,7.0,19.0,1.79,0.0,1.79,1.79,1.79,1.18,0.23,1.41,1.18,1.41,Matches,Brasil Serie A,Atletico Mineiro,
Matheus Mendes,br BRA,GK,25-102,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Mineiro,
Rubens,br BRA,DF,22-365,1.0,1,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brasil Serie A,Atletico Mineiro,
